class,year,elevation,eastness,northness,roughness,dew_temp,precip_annual,temp_annual_mean,temp_annual_min,temp_annual_max,temp_january_min,vapor_min,vapor_max,county,longitude,latitude
No,2018,374,93,-34,23,0.7,306,9.66,-5.75,16.15,3.16,223,1639,okanogan,-119.619691,48.349274
No,2018,515,-42,90,53,0.76,348,9.3,-5.78,15.23,3.36,239,1494,okanogan,-119.436502,48.418914
No,2018,914,-99,-8,11,-0.66,382,6.92,-7.89,12.8,1.05,177,1197,okanogan,-119.288096,48.513383
Yes,2018,1533,-53,-84,36,-3.41,749,4.25,-8.59,8.98,-0.48,202,849,okanogan,-119.166024,48.749762
Yes,2018,738,94,34,97,0.52,364,9.15,-5.5,14.59,3.71,274,1390,okanogan,-119.820002,48.228673
Yes,2018,989,0,-100,9,-1.44,423,6.96,-7.55,12.64,1.29,208,1240,okanogan,-119.809948,48.376012
Yes,2018,1010,99,5,6,-1.14,428,6.34,-8.1,12.23,0.45,178,1165,okanogan,-118.918311,48.413589
Yes,2018,1238,-99,-3,7,-2.18,483,4.89,-9.63,10.75,-0.97,158,1045,okanogan,-118.98478,48.70825
Yes,2018,418,0,0,0,1.07,319,9.36,-5.35,15.25,3.47,211,1422,okanogan,-119.73173,48.999109
No,2018,1183,-16,98,33,-1.92,473,5.05,-9.34,10.96,-0.86,156,1071,okanogan,-119.120127,48.900567
Yes,2019,1349,-22,97,126,-2.6,670,4.85,-7.6,9.71,-0.01,167,909,okanogan,-120.339447,48.303764
No,2018,872,-96,-27,24,-0.51,385,8.05,-6.5,13.35,2.74,250,1284,okanogan,-119.51003,48.320223
Yes,2018,843,73,-67,14,-0.3,361,8.2,-6.34,13.52,2.89,251,1307,okanogan,-119.444639,48.225818
Yes,2018,1301,-85,-51,88,-1.53,456,5.3,-7.76,10.09,0.51,189,876,okanogan,-118.970072,48.897111
Yes,2018,1230,-97,24,34,-1.78,444,6.55,-5.36,10.98,2.12,255,968,okanogan,-119.345982,48.871721
No,2018,777,-37,92,8,0.05,411,7.84,-6.6,14.36,1.32,152,1370,okanogan,-118.861212,48.213387
Yes,2018,1138,78,-61,106,-1.14,583,7.73,-6.32,12.68,2.78,289,1210,okanogan,-120.099175,48.037438
Yes,2018,1886,-7,99,53,-3.54,1197,2.74,-8.21,7.43,-1.96,126,675,okanogan,-120.310318,48.136044
Yes,2018,1173,53,-84,32,-1.74,468,5.63,-8.55,11.35,-0.09,166,1080,okanogan,-119.85192,48.543751
No,2018,446,83,-54,15,0.34,339,9.03,-6.6,15.55,2.52,205,1539,okanogan,-119.656813,48.520996
Yes,2018,1876,79,61,49,-4.61,823,1.78,-10.26,6.79,-3.23,95,681,okanogan,-120.112097,48.969379000000004
Yes,2018,1511,95,29,153,-3.11,1146,3.29,-7.84,7.84,-1.27,128,683,okanogan,-120.585313,48.628527
Yes,2018,2085,18,-98,111,-4.26,1420,1.73,-8.13,5.98,-2.53,111,580,okanogan,-120.509814,48.486804
No,2018,569,-4,-99,25,0.15,330,8.46,-6.63,14.47,2.46,211,1388,okanogan,-119.497697,48.714195
Yes,2020,977,-66,74,103,-0.64,347,7.15,-7.23,12.47,1.84,212,1174,okanogan,-119.323191,48.685151
Yes,2020,1959,39,92,152,-4.1,947,1.87,-9.36,6.68,-2.94,98,624,okanogan,-120.428111,48.827605
Yes,2018,1968,-10,99,121,-4.3,897,1.75,-9.56,6.67,-3.17,92,636,okanogan,-120.280579,48.822932
No,2018,951,43,-90,76,-0.57,469,7.86,-6.61,13.61,2.11,216,1322,okanogan,-120.012254,48.319424
Yes,2018,1660,-99,5,86,-3.78,1397,2.78,-8.96,7.88,-2.33,100,731,okanogan,-120.466986,48.952364
Yes,2018,738,99,-3,40,-0.06,419,8.76,-5.73,14.35,3.17,258,1387,okanogan,-119.965913,48.179699
Yes,2018,681,-16,98,55,-0.51,501,8.02,-7.14,14.42,1.65,187,1438,okanogan,-120.1645,48.183639
No,2018,486,81,57,20,2.13,247,10.41,-3.3,16.29,4.54,261,1506,yakima,-119.875793,46.577951
No,2018,323,15,98,49,2.19,214,10.68,-3.5,17.5,3.86,224,1659,yakima,-120.304476,46.279069
No,2018,227,95,28,6,2.04,195,10.71,-3.42,17.96,3.47,201,1736,yakima,-120.17813,46.231646
No,2018,658,82,56,25,1.2,253,9.26,-4.5,15.3,3.22,225,1420,yakima,-120.081512,46.687645
Yes,2018,1288,78,-61,20,0.09,1281,5.93,-4.54,10.46,1.4,161,785,yakima,-121.3609,46.124072
No,2018,512,68,73,73,1.86,329,9.7,-4.19,16.21,3.19,190,1478,yakima,-120.873783,46.340438
Yes,2018,1031,-99,-2,114,0.85,684,6.71,-4.51,12.31,1.1,90,1049,yakima,-121.099688,46.631573
No,2018,230,70,-70,1,1.98,187,10.75,-3.73,17.82,3.69,213,1732,yakima,-120.369238,46.343212
No,2018,244,0,-100,1,2.04,188,10.82,-3.78,17.91,3.74,209,1739,yakima,-120.546089,46.372114
No,2018,470,-98,-19,26,1.6,248,9.67,-4.51,16.29,3.05,197,1516,yakima,-120.654543,46.610496
Yes,2018,901,-99,12,7,1.52,766,7.25,-4.63,13.92,0.58,34,1200,yakima,-121.009735,46.13535
No,2018,222,44,89,2,2.2,210,10.89,-3.08,18.04,3.73,183,1751,yakima,-119.997317,46.205344
No,2018,275,-48,-87,7,2.39,196,10.74,-3.25,17.5,3.98,206,1626,yakima,-120.023154,46.364546
Yes,2019,1458,87,-48,63,-0.89,1111,3.82,-5.46,8.27,-0.62,91,577,yakima,-121.323886,46.631018
No,2018,316,94,-31,2,2.11,218,10.58,-4.01,17.75,3.41,186,1693,yakima,-120.719545,46.337402
No,2018,532,95,-30,17,1.53,241,9.58,-4.53,15.95,3.22,214,1471,yakima,-120.604189,46.695301
No,2018,423,1,-99,17,1.79,288,10.01,-4.36,16.85,3.17,199,1572,yakima,-120.73905,46.478028
Yes,2018,1713,85,51,77,-1.33,1832,4.08,-5.75,8.88,-0.73,111,704,yakima,-121.163953,46.915383
Yes,2018,1684,-73,68,84,-1.87,1786,3.37,-6,7.78,-1.05,127,569,yakima,-121.379551,46.978734
No,2018,460,-3,-99,18,3.01,277,10.77,-2.72,16.68,4.86,213,1501,yakima,-119.973096,46.043962
Yes,2018,1103,-70,-70,32,0.87,839,6.72,-4.71,12.23,1.22,102,958,yakima,-121.199817,46.178015
No,2018,598,-24,96,58,1.61,263,9.79,-4.32,16.39,3.19,199,1543,yakima,-120.575443,46.529422
No,2018,574,4,-99,14,1.45,217,9.59,-4.35,16.15,3.02,211,1522,yakima,-120.055097,46.520493
No,2018,705,74,66,18,1.46,337,9.03,-4.15,14.98,3.07,213,1353,yakima,-120.785761,46.645142
No,2018,464,-33,94,38,2.19,280,10.22,-3.33,16.25,4.19,251,1474,yakima,-120.33325,46.179353
Yes,2018,1003,-19,-98,52,-0.22,1358,5.49,-6.9,11.8,-0.81,57,1063,yakima,-121.167155,46.778636
No,2018,766,73,-67,49,1.06,435,8.03,-4.77,14.32,1.76,152,1257,yakima,-120.91923,46.51122
Yes,2018,867,-3,99,126,0.74,487,7.31,-5.55,13.66,0.96,116,1236,yakima,-120.962861,46.673784
No,2018,368,-57,-81,15,2.71,331,10.83,-2.74,17.51,4.14,178,1653,adams,-118.163559,46.758544
No,2018,365,70,70,8,2.13,231,10.16,-3.94,16.65,3.68,186,1545,adams,-118.889309,46.962416
No,2018,498,-34,93,44,2.01,377,9.79,-3.5,16.51,3.07,135,1523,adams,-118.014913,46.966591
No,2018,586,70,-70,10,1.51,322,8.96,-4.51,15.58,2.34,129,1440,adams,-118.207932,47.154565
No,2018,546,99,6,7,1.77,361,9.32,-4.03,16.02,2.63,130,1477,adams,-118.027268,47.128189
No,2018,473,-55,-82,25,2.27,308,10.15,-3.44,16.65,3.64,167,1560,adams,-118.339793,46.786096
No,2018,519,70,-70,1,1.83,285,9.48,-4.19,16.14,2.81,140,1508,adams,-118.357601,46.945214
No,2018,394,-70,70,1,2.53,232,10.1,-3.74,16.63,3.58,150,1516,adams,-118.868703,46.797961
No,2018,287,89,-44,1,2.41,194,10.65,-3.48,17.14,4.17,200,1615,adams,-119.210261,46.785348
No,2018,362,-55,-83,2,2.28,221,10.12,-3.79,16.55,3.69,175,1520,adams,-119.04273,46.755636
No,2018,492,95,-30,29,2.51,352,10.29,-3.2,16.56,4.03,181,1524,adams,-118.173261,46.835177
No,2018,550,35,93,5,1.7,283,9.24,-4.4,15.86,2.62,135,1469,adams,-118.56237,47.143147
No,2018,571,-16,98,8,1.71,287,9.18,-4.4,15.77,2.59,135,1456,adams,-118.517655,47.108451
No,2018,567,-91,39,7,1.66,304,9.16,-4.36,15.75,2.57,134,1453,adams,-118.382683,47.111316
Yes,2018,1379,99,-2,136,-0.17,759,7.65,-4.21,12.49,2.81,268,1046,asotin,-117.440527,46.064545
Yes,2018,1084,24,-97,21,0.17,500,8.61,-3.89,14.04,3.18,256,1268,asotin,-117.409175,46.04146
No,2018,1122,-98,16,19,0.07,392,8.25,-3.87,13.42,3.08,264,1123,asotin,-117.268608,46.185047
No,2018,881,-29,95,24,1.19,431,9.48,-2.85,14.73,4.23,278,1275,asotin,-117.402105,46.375531
No,2018,661,-13,99,102,1.33,400,9.85,-2.92,15.71,4,246,1484,asotin,-117.222149,46.026862
No,2018,286,-58,81,51,3.33,231,11.63,-1.93,17.77,5.5,227,1664,benton,-119.117282,46.137903
No,2018,214,99,-3,78,3.5,259,11.72,-1.66,17.88,5.57,221,1634,benton,-119.108156,45.969947
No,2018,132,-28,-95,6,3.33,223,11.88,-1.84,18.55,5.23,182,1764,benton,-119.448275,45.952941
No,2018,128,-91,41,4,2.83,208,12.45,-2.34,19.02,5.89,322,2020,benton,-119.541902,46.598008
No,2018,784,-26,-96,8,1.12,280,9.17,-3.95,14.81,3.53,245,1361,benton,-119.68302,46.386164
No,2018,189,68,72,18,2.98,217,11.82,-2.44,18.36,5.28,254,1810,benton,-119.519833,46.436751
No,2018,176,97,-22,10,3.26,218,11.95,-2.17,18.49,5.42,234,1798,benton,-119.49434,46.273996
No,2018,134,63,77,5,2.97,211,12.01,-2.31,18.66,5.36,258,1867,benton,-119.365182,46.563703
No,2018,404,5,99,18,2.99,247,10.67,-2.6,16.68,4.67,185,1498,benton,-119.467527,46.113369
No,2018,527,-99,2,20,2.87,263,10.35,-3.19,16.04,4.67,196,1384,benton,-119.296459,46.082886
No,2018,659,-56,-82,28,1.76,235,9.67,-3.6,15.29,4.05,239,1386,benton,-119.862092,46.416065
No,2018,675,-42,90,55,2.37,513,10.37,-2.29,16.05,4.68,225,1406,columbia,-117.937698,46.313955
No,2018,842,83,55,11,1.36,610,9.55,-2.72,14.66,4.45,267,1243,columbia,-117.769029,46.378809
No,2018,551,60,-79,54,2.77,481,10.76,-2.05,16.4,5.12,239,1438,columbia,-118.120818,46.348994
Yes,2018,1315,-89,43,103,-0.41,1263,7.49,-4.21,12.36,2.62,255,1017,columbia,-117.908274,46.136987
No,2018,227,79,-60,29,3.63,319,12.16,-1.2,18.35,5.97,241,1719,columbia,-118.134367,46.514462
No,2018,770,94,-32,22,1.77,569,10.16,-2.27,15.28,5.05,273,1313,columbia,-117.808758,46.39914
Yes,2018,1150,96,24,74,0.73,711,8.85,-3.02,13.71,3.98,286,1131,columbia,-117.622721,46.33238
Yes,2018,1494,11,99,65,-0.44,1188,6.67,-4.86,11.34,2,235,908,columbia,-117.744578,46.19602
No,2018,510,-98,-14,8,1.48,345,9.62,-4.27,15.81,3.42,192,1517,ferry,-118.507435,47.912714
No,2018,609,50,-86,84,0.95,305,9.02,-5.48,15.13,2.92,204,1453,ferry,-118.644282,48.009275
Yes,2018,1339,-34,-93,93,-0.51,609,6.49,-6.6,11.05,1.93,225,980,ferry,-118.492974,48.254786
Yes,2018,1181,-33,-94,25,-0.69,548,6.14,-7.81,11.77,0.51,161,1092,ferry,-118.629929,48.403431
Yes,2018,937,88,45,28,0.64,402,8.07,-5.98,13.43,2.72,207,1227,ferry,-118.709565,48.259225
Yes,2018,1015,0,-100,35,-0.1,490,6.87,-7.5,12.66,1.08,153,1176,ferry,-118.706291,48.453954
Yes,2018,831,23,97,71,0.69,475,8.51,-5.17,14.09,2.94,206,1303,ferry,-118.499547,48.058038
Yes,2018,1091,-99,-10,60,-0.82,495,5.66,-9.02,11.81,-0.49,110,1099,ferry,-118.792934,48.607575
Yes,2018,1140,-77,-63,48,-0.41,557,6.74,-7.04,11.87,1.61,206,1092,ferry,-118.578014,48.255709
Yes,2018,1146,-36,93,33,-1.03,552,5.36,-9.21,11.46,-0.74,119,1073,ferry,-118.576494,48.57267
Yes,2018,1059,95,29,92,-0.04,557,6.7,-6.64,11.8,1.6,196,1075,ferry,-118.266206,48.75908
Yes,2018,833,34,-93,90,0.64,530,8.38,-5.1,13.53,3.23,240,1230,ferry,-118.338426,48.157383
Yes,2018,852,-98,19,60,-0.27,455,6.58,-8.14,13.05,0.1,99,1221,ferry,-118.778114,48.927736
Yes,2018,707,60,79,52,0.89,528,8.24,-5.63,14.18,2.29,170,1302,ferry,-118.336947,48.204909
Yes,2018,548,-79,60,3,1.14,464,8.56,-5.61,15.42,1.7,108,1466,ferry,-118.208052,48.249964
Yes,2018,911,44,89,41,0.16,476,6.77,-7.77,13.06,0.49,106,1215,ferry,-118.721008,48.570398
Yes,2018,1515,-69,-71,79,-2,652,4.86,-7.73,9.49,0.23,194,877,ferry,-118.548365,48.389274
Yes,2018,1332,61,78,54,-1.59,525,5.31,-7.78,10.11,0.5,189,912,ferry,-118.789493,48.778356
Yes,2018,885,77,63,132,0.36,561,7.15,-6.42,12.59,1.7,175,1172,ferry,-118.257089,48.909375
No,2018,192,24,97,9,2.94,236,11.37,-2.49,18.07,4.67,210,1764,franklin,-118.989438,46.432063
No,2018,287,0,0,0,2.65,227,10.78,-3,17.32,4.26,191,1637,franklin,-119.02209,46.593078
No,2018,304,98,15,12,2.67,221,10.75,-3.09,17.09,4.41,200,1591,franklin,-119.195252,46.618123
No,2018,313,-14,98,4,2.6,228,10.7,-3.07,17.31,4.09,181,1651,franklin,-118.84684,46.634561
No,2018,347,90,-42,42,2.93,284,11.06,-2.67,17.5,4.61,200,1632,franklin,-118.502866,46.656096
No,2018,363,98,16,29,2.8,290,11.04,-2.66,17.47,4.62,210,1668,franklin,-118.325783,46.629442
No,2018,330,52,-84,37,2.77,259,10.87,-2.83,17.43,4.31,207,1685,franklin,-118.82367,46.475201
No,2018,167,-95,-29,9,3.32,237,11.74,-2.09,18.25,5.24,225,1764,franklin,-118.973553,46.264617
No,2018,149,80,-58,68,3.01,273,11.57,-2.25,18.12,5.03,234,1732,franklin,-118.641062,46.448167
No,2018,220,0,0,0,3.2,263,11.46,-2.19,17.96,4.96,240,1732,franklin,-118.806895,46.317654
No,2018,1065,-99,-9,102,-0.1,604,7.73,-4.98,13.45,2,218,1143,garfield,-117.438393,46.211076
No,2018,529,-99,-13,26,2.71,447,10.99,-1.75,16.57,5.42,238,1494,garfield,-117.634426,46.656305
No,2018,715,70,70,3,2,449,10.25,-2.36,15.63,4.88,255,1361,garfield,-117.613177,46.489407
Yes,2018,1284,85,-52,40,-0.02,606,7.98,-4.25,13.07,2.89,246,1140,garfield,-117.590138,46.021001
Yes,2018,1419,-66,74,158,-0.67,969,7.11,-4.33,11.69,2.53,279,944,garfield,-117.576185,46.168718
No,2018,609,78,62,26,0.98,250,9.19,-5.85,15.09,3.29,220,1444,grant,-119.663775,47.411684
No,2018,393,-42,-90,7,2.2,227,10.02,-3.97,16.42,3.63,180,1508,adams,-119.052061,46.911614
No,2018,408,70,-70,3,1.56,238,10,-4.65,16.77,3.23,183,1634,grant,-119.118385,47.400209
No,2018,567,-74,-66,18,1.22,259,9.32,-5.23,15.66,2.98,191,1501,grant,-119.149861,47.562289
No,2018,796,-42,-90,14,0.2,324,7.8,-6.56,13.9,1.71,161,1308,grant,-119.002181,47.774557
No,2018,619,0,-99,44,1.36,245,9.93,-4.98,15.92,3.94,239,1534,grant,-119.501826,47.537373
No,2018,351,0,-100,1,2.37,190,10.69,-3.78,16.82,4.56,240,1583,grant,-119.585351,46.920866
No,2018,705,-93,-35,23,0.48,262,8.63,-5.83,14.23,3.04,227,1328,grant,-119.824396,47.356295
No,2018,730,77,-63,7,0.44,295,8.38,-6.41,14.57,2.19,179,1396,grant,-119.168541,47.727969
No,2018,339,0,-100,1,2.56,196,10.68,-3.63,16.82,4.53,216,1578,grant,-119.413255,46.896499
No,2018,415,-7,99,6,1.72,227,9.91,-4.4,16.45,3.38,187,1568,grant,-119.111691,47.238674
No,2018,217,85,51,3,2.52,193,11.57,-3.37,18.16,4.99,271,1846,grant,-119.716106,46.719727
No,2018,400,12,-99,13,1.38,232,10.01,-4.69,16.62,3.4,207,1621,grant,-119.298043,47.431098
No,2018,303,-53,84,7,2.33,208,10.62,-3.8,17.19,4.05,198,1645,grant,-119.233219,46.936305
No,2018,215,-98,-14,5,2.75,206,11.32,-2.9,17.79,4.85,237,1732,grant,-119.411996,46.694664
No,2018,479,0,0,0,1.25,275,9.75,-4.98,16.03,3.46,208,1555,grant,-119.192912,47.884384
No,2018,262,-67,-73,12,2.38,196,11.17,-3.53,17.65,4.69,262,1780,grant,-119.560621,46.76066
No,2018,376,3,-99,37,1.33,235,10.06,-4.71,16.42,3.69,222,1598,grant,-119.325539,47.588407
No,2018,374,70,-70,1,1.82,189,10.27,-4.71,16.61,3.93,225,1585,grant,-119.800183,47.19138
No,2018,373,-80,-59,8,1.97,218,10.09,-4.23,16.55,3.63,196,1558,grant,-119.078759,47.068743
No,2018,411,32,-94,29,2.07,237,10.65,-4.15,16.25,5.06,293,1544,grant,-119.982701,47.224001
No,2018,216,-31,-94,1,2.71,202,11.28,-2.94,17.82,4.75,228,1724,grant,-119.386366,46.735258
No,2018,646,96,-27,9,1.12,293,8.58,-5.35,15.07,2.1,135,1413,lincoln,-118.808347,47.743743
No,2018,531,-98,19,3,1.5,255,9.36,-4.59,15.84,2.88,161,1495,lincoln,-118.886442,47.451454
No,2018,537,-35,-93,5,1.44,263,9.27,-4.73,15.84,2.7,153,1494,lincoln,-118.775474,47.416387
No,2018,495,-94,33,50,1.38,263,9.64,-4.76,16.11,3.17,191,1548,lincoln,-118.975655,47.613674
No,2018,750,-91,41,4,1.2,435,7.88,-5.4,13.97,1.78,119,1257,lincoln,-117.920825,47.66527
No,2018,603,70,70,4,1.47,305,8.84,-4.67,15.35,2.34,135,1417,lincoln,-118.402002,47.276781
No,2018,595,-89,44,10,1.42,289,8.95,-4.79,15.44,2.46,142,1438,lincoln,-118.605651,47.469152
No,2018,693,-98,15,13,1.19,314,8.2,-5.5,14.69,1.71,109,1354,lincoln,-118.625231,47.626679
No,2018,698,94,-31,2,1.44,338,8.26,-5.26,14.51,2,116,1312,lincoln,-118.444343,47.599374
No,2018,737,70,70,6,0.92,358,8.14,-5.6,14.32,1.97,141,1321,lincoln,-118.482906,47.747187
No,2018,517,-98,14,11,1.49,249,9.38,-4.65,15.88,2.89,163,1508,lincoln,-118.951813,47.454262
No,2018,719,70,-70,15,0.65,318,7.83,-5.92,14.36,1.3,121,1342,lincoln,-118.648709,47.793233
No,2018,643,-95,-29,10,1.44,315,8.64,-4.9,14.94,2.33,139,1366,lincoln,-118.417085,47.434997
No,2018,569,-5,99,15,1.55,276,9.13,-4.69,15.72,2.54,139,1466,lincoln,-118.583977,47.305417
No,2018,635,-89,44,12,1.47,329,8.69,-4.65,15.08,2.3,134,1381,lincoln,-118.241887,47.326109
Yes,2018,879,-75,65,63,0.22,830,5.95,-7.26,12.23,-0.34,73,1082,pend_oreille,-117.369002,48.818477
Yes,2018,926,93,34,23,1.03,820,6.88,-6.9,13.64,0.11,52,1224,pend_oreille,-117.420208,48.294948
Yes,2018,733,-90,42,59,1.11,714,7.34,-6.27,14.17,0.52,57,1280,pend_oreille,-117.285749,48.189166
Yes,2018,1306,54,83,11,-0.71,966,5.01,-7.77,10.26,-0.25,132,910,pend_oreille,-117.46894,48.622949
Yes,2018,1312,-29,-95,62,-0.29,1014,5.47,-7.44,10.92,0.03,133,948,pend_oreille,-117.465149,48.454118
Yes,2018,1406,41,91,81,-0.77,964,4.98,-7.52,9.82,0.14,160,853,pend_oreille,-117.429425,48.618546
Yes,2018,1544,-96,25,108,-0.56,1145,4.81,-7.54,9.36,0.26,146,791,pend_oreille,-117.31593,48.671363
Yes,2018,625,70,-70,1,1.65,642,7.9,-5.62,14.64,1.16,70,1312,pend_oreille,-117.272021,48.338502
Yes,2018,1503,51,85,99,-1.84,1337,3.22,-9.15,8.44,-1.99,93,777,pend_oreille,-117.153879,48.802711
Yes,2018,1237,-97,21,79,-0.13,998,5.2,-7.68,11.22,-0.83,96,963,pend_oreille,-117.139479,48.490968
Yes,2018,1362,-90,43,75,-0.6,1006,3.89,-8.59,9.16,-1.37,80,778,pend_oreille,-117.145286,48.620684
Yes,2018,1101,77,63,65,-0.36,796,5.33,-7.85,11.57,-0.92,91,1018,pend_oreille,-117.533056,48.773322
Yes,2018,747,-70,-70,30,0.89,740,7.36,-6.26,14.06,0.66,72,1273,pend_oreille,-117.425636,48.133484
No,2018,627,-96,-25,19,1.57,436,8.73,-4.42,15.3,2.17,109,1389,spokane,-117.721393,47.301108
No,2018,650,-78,-61,20,1.62,678,8.36,-4.75,14.42,2.31,127,1283,spokane,-117.216326,47.847937
No,2018,748,100,0,7,1.33,469,8.03,-5.11,14.2,1.88,106,1272,spokane,-117.64139,47.497036
Yes,2018,861,-50,86,52,1.64,994,8.05,-4.63,13.13,2.98,159,1169,spokane,-117.073203,47.843361
No,2018,702,-44,89,7,1.41,453,8.26,-4.79,14.64,1.87,99,1316,spokane,-117.714397,47.446533
No,2018,809,-39,92,24,1.59,551,8.17,-4.31,14.23,2.12,97,1252,spokane,-117.176555,47.350715
Yes,2018,1031,-99,5,33,1.03,946,6.71,-5.73,11.97,1.45,100,1075,spokane,-117.141475,47.948539
No,2018,621,-55,-83,2,2.14,530,9.01,-3.87,15.06,2.97,128,1337,spokane,-117.20906600000001,47.705409
No,2018,915,-50,86,77,1.07,481,8.78,-4.76,13.92,3.65,249,1252,stevens,-118.156863,48.106881
No,2018,851,-2,-99,59,0.36,626,7.06,-6.25,12.69,1.43,146,1165,stevens,-118.062312,48.804618
Yes,2018,987,47,88,47,0.36,651,6.42,-6.4,11.43,1.42,165,997,stevens,-117.871863,48.787164
No,2018,717,32,-94,31,1.2,477,8.85,-4.69,14.66,3.05,189,1370,stevens,-117.945331,47.852227
Yes,2018,743,99,-11,10,1.17,556,7.97,-5.69,14.3,1.64,108,1302,stevens,-117.92891,48.000749
Yes,2018,680,-83,-54,73,1.19,525,7.92,-5.8,14.53,1.32,85,1323,stevens,-117.79699,48.143995
No,2018,845,99,-5,26,0.81,593,7.25,-6.52,13.83,0.67,90,1249,stevens,-117.984126,48.309538
No,2018,696,89,-44,6,1.41,679,7.83,-5.76,14.39,1.26,70,1290,stevens,-117.581332,47.996214
Yes,2018,1085,-99,1,66,0.6,604,7.7,-5.51,13.05,2.36,188,1167,stevens,-117.9458,48.145567
Yes,2018,572,55,-83,13,1.58,506,8.38,-5.3,15.29,1.47,63,1404,stevens,-117.790921,47.952307
Yes,2018,967,-80,-58,37,0.03,748,6.18,-6.9,11.61,0.74,147,1052,stevens,-118.10452,48.94907
Yes,2018,810,50,86,22,0.45,673,7.07,-6.83,13.83,0.31,81,1268,stevens,-117.649291,48.335166
Yes,2018,963,-10,99,60,0.26,787,6.4,-6.3,11.55,1.24,156,1023,stevens,-117.880235,48.922343
Yes,2018,849,-90,41,84,0.79,466,9.17,-4.46,14.26,4.08,302,1332,stevens,-118.156404,47.954182
Yes,2019,893,49,-87,27,0.49,589,7.24,-6.12,13.4,1.09,129,1223,stevens,-118.020396,48.485248
Yes,2018,1111,-99,-5,27,-0.05,771,5.87,-6.96,11.04,0.69,154,974,stevens,-117.534771,48.921994
Yes,2018,724,-98,-17,5,1.23,521,8.95,-4.65,14.61,3.3,207,1366,stevens,-117.976143,47.865752
Yes,2018,523,50,86,25,1.67,545,8.48,-5.35,15.39,1.58,76,1407,stevens,-117.798167,48.292714
No,2018,726,-97,24,10,1.12,415,9.22,-4.56,14.58,3.86,258,1358,stevens,-118.309295,47.955853
Yes,2018,774,-60,79,63,0.46,595,7.17,-6.73,13.57,0.78,99,1265,stevens,-118.024252,48.637924
Yes,2018,791,-99,4,7,0.78,642,7.38,-6.41,14.01,0.74,84,1273,stevens,-117.620202,48.165485
Yes,2018,959,87,48,21,0.34,651,6.3,-6.82,12.03,0.56,127,1068,stevens,-117.725776,48.82601
Yes,2018,741,-87,48,115,1.15,736,7.61,-5.5,13.29,1.93,130,1177,stevens,-117.725213,48.98822
No,2018,356,-28,-95,45,3.26,395,11.59,-1.7,17.57,5.61,247,1597,walla_walla,-118.289651,46.300551
No,2018,570,30,-95,35,2.7,394,10.93,-2.33,16.56,5.3,256,1490,walla_walla,-118.309794,46.464828
No,2018,276,82,56,5,3.1,306,11.2,-2.15,17.66,4.75,205,1665,walla_walla,-118.78368,46.151825
No,2018,633,-91,-40,28,2.6,623,10.45,-2.08,15.8,5.11,250,1366,walla_walla,-118.120617,46.178469
No,2018,324,-97,24,4,2.94,318,11.01,-2.16,17.41,4.61,212,1636,walla_walla,-118.629627,46.282054
No,2018,104,0,0,0,4.05,209,12.4,-1.23,18.63,6.18,230,1745,walla_walla,-118.94491,46.097478
No,2018,405,59,-80,28,2.91,312,11.09,-2.33,17.29,4.88,223,1603,walla_walla,-118.488024,46.496298
No,2018,338,-70,70,25,3.32,332,11.47,-1.84,17.6,5.35,228,1597,walla_walla,-118.462509,46.332301
No,2018,387,70,70,11,3.38,494,11.41,-1.7,17.35,5.48,263,1581,walla_walla,-118.259668,46.119604
No,2018,396,-39,91,9,2.73,336,10.89,-2.67,17.32,4.47,206,1629,whitman,-118.165191,46.674549
No,2018,527,70,-70,7,2.02,402,9.67,-3.39,16.32,3.01,135,1488,whitman,-117.843705,47.013415
No,2018,619,-22,-97,29,1.72,418,8.96,-4.21,15.42,2.5,127,1397,whitman,-117.865075,47.176295
No,2018,767,28,-95,21,1.96,602,8.78,-3.15,14.79,2.77,120,1265,whitman,-117.134337,46.862341
No,2018,789,-64,-76,21,1.67,514,8.52,-3.75,14.72,2.32,107,1299,whitman,-117.164373,47.20497
No,2018,640,-61,78,24,2.11,416,9.33,-3.43,15.64,3.01,137,1386,whitman,-117.687733,47.14492
No,2018,546,-38,92,101,2.27,418,10.05,-2.79,16.64,3.45,149,1508,whitman,-117.658122,46.981393
No,2018,672,-44,89,44,2,496,9.37,-3,15.59,3.15,142,1374,whitman,-117.479469,46.866797
No,2018,764,-93,35,25,1.79,541,8.7,-3.42,14.7,2.7,131,1277,whitman,-117.313793,47.001139
No,2018,777,95,29,13,1.7,514,8.55,-3.75,14.72,2.38,114,1292,whitman,-117.266542,47.168483
No,2018,687,-36,-93,14,1.93,454,8.9,-3.77,15.11,2.69,126,1330,whitman,-117.502871,47.19988
No,2018,455,31,94,7,2.08,392,10.05,-2.97,16.89,3.22,130,1562,whitman,-117.82862,46.853082
No,2018,563,-75,66,23,2.27,446,10.09,-2.54,16.45,3.74,152,1488,whitman,-117.650449,46.819253
No,2018,707,11,-99,28,2.12,475,9.24,-3.2,15.48,3,141,1348,whitman,-117.504313,47.029662
No,2018,800,26,96,21,1.82,508,8.59,-3.79,14.59,2.59,122,1273,whitman,-117.336866,47.164089
No,2018,708,55,83,18,1.98,523,9.03,-3.1,15.1,2.97,133,1307,whitman,-117.297278,46.844532
Yes,2019,177,99,0,27,6.63,1223,10.86,2,15.14,6.57,68,863,king,-121.980863,47.647952
